GEO,year,Total_Population,Population_0_14,Population_15_more,labour_force,inactive_adults,employment,unemployment,parttime,fulltime
Manitoba,1989,1103792.0,161807.0,941985.0,634377.9997163148,307607.00028368516,587374.6651503025,47003.3345660124,114142.28374220285,473232.3814080995
Manitoba,1990,1105421.0,161491.0,943930.0,635318.229245655,308611.770754345,588506.8139767661,46811.41526888901,119486.0181786931,469020.79579807294
Manitoba,1991,1109604.0,161293.0,948311.0,635636.4940722609,312674.5059277391,580855.8900673859,54780.60400487512,126922.53284245582,453933.35722493
Manitoba,1992,1112689.0,162152.0,950537.0,632222.3456498346,318314.6543501654,573478.7709311799,58743.574718654774,127329.26438197284,446149.50654920697
Manitoba,1993,1117618.0,163022.0,954596.0,638289.5686077878,316306.43139221217,578688.9438923374,59600.624715450445,128106.12815826733,450582.81573407014
Manitoba,1994,1123230.0,163837.0,959393.0,640237.9595605143,319155.0404394857,584319.8863595464,55918.07320096783,124283.79054277609,460036.09581677045
Manitoba,1995,1129150.0,163895.0,965255.0,642349.3087644837,322905.69123551634,595861.3523826603,46487.95638182339,123999.93992288609,471861.41245977423
Manitoba,1996,1134196.0,163205.0,970991.0,645092.5792883149,325898.4207116851,598403.5583563981,46689.02093191676,126461.81597844911,471941.74237794906
Manitoba,1997,1136128.0,161537.0,974591.0,649213.3847827162,325377.61521728383,607140.2715578189,42073.1132248973,122538.09508801572,484602.1764698032
Manitoba,1998,1137489.0,159767.0,977722.0,654953.6428360181,322768.3571639819,618567.8648238333,36385.77801218481,120228.35778323562,498339.5070405976
Manitoba,1999,1142448.0,158435.0,984013.0,664244.4569955702,319768.5430044298,627029.0999941197,37215.357001450575,122954.44587018079,504074.6541239388
Manitoba,2000,1147313.0,157691.0,989622.0,671660.6698148112,317961.3301851888,638543.5119661948,33117.15784861639,120846.41437551893,517697.09759067575
Manitoba,2001,1151451.0,156501.0,994950.0,673944.270579521,321005.72942047904,639635.6498898657,34308.62068965524,122824.47418178985,516811.1757080758
Manitoba,2002,1156673.0,155974.0,1000699.0,689632.9796767638,311066.02032323624,654633.2101422626,34999.76953450105,130550.87245491758,524082.337687345
Manitoba,2003,1163585.0,155948.0,1007637.0,691638.2167051985,315998.7832948015,657400.423721497,34237.792983701496,129388.3736978174,528012.0500236795
Manitoba,2004,1173228.0,156378.0,1016850.0,700078.7776712939,316771.22232870606,663124.8688193265,36953.90885196745,127833.50871533081,535291.3601039957
Manitoba,2005,1178262.0,155062.0,1023200.0,699438.8650933361,323761.1349066639,666323.9755622288,33114.88953110725,131088.02121136073,535235.9543508681
Manitoba,2006,1183560.0,154057.0,1029503.0,705058.9326208004,324444.06737919955,673078.1273309916,31980.805289808963,133615.3378805678,539462.7894504238
Manitoba,2007,1189446.0,153984.0,1035462.0,715885.2713622334,319576.72863776656,682745.1895559324,33140.08180630096,132464.35247337542,550280.837082557
Manitoba,2008,1197767.0,154941.0,1042826.0,723549.7549288011,319276.2450711989,692892.4908038585,30657.264124942558,133054.3660009124,559838.1248029462
Manitoba,2009,1208555.0,155878.0,1052677.0,728455.5831190426,324221.41688095743,689085.2930587989,39370.290060243795,134105.7163892887,554979.5766695101
Manitoba,2010,1220782.0,157297.0,1063485.0,739332.9161018699,324152.0838981301,699179.0707559449,40153.845345925,138562.27088700773,560616.7998689373
Manitoba,2011,1233353.0,157999.0,1075354.0,746140.8329607552,329213.1670392448,705541.2780675609,40599.55489319429,139824.2912525764,565716.9868149845
Manitoba,2012,1249094.0,159339.0,1089755.0,752041.8320607344,337713.1679392656,711238.7604858058,40803.07157492863,139833.7004952976,571405.0599905082
Manitoba,2013,1263393.0,160383.0,1103010.0,759873.4096872808,343136.5903127192,718483.4301253128,41389.97956196803,142072.77878420232,576410.6513411106
Manitoba,2014,1277425.0,161792.0,1115633.0,762374.0671327233,353258.9328672767,720778.210102464,41595.85703025939,139210.39927521336,581567.8108272507
Manitoba,2015,1293598.0,162613.0,1130985.0,777998.7551409794,352986.2448590206,733804.743014628,44194.0121263515,140672.52435393937,593132.2186606886
Manitoba,2016,1314140.0,164988.0,1149152.0,781718.105384442,367433.894615558,734109.8177021149,47608.28768232713,143784.3206786284,590325.4970234865
Manitoba,2017,1334734.0,166817.0,1167917.0,788253.5195207535,379663.4804792465,745938.5902901611,42314.929230592374,145492.8147803003,600445.7755098607
Manitoba,2018,1352687.0,168763.0,1183924.0,800879.5998832344,383044.40011676564,753176.651908793,47702.9479744414,149421.83004013222,603754.8218686609
Manitoba,2019,1370033.0,170341.0,1199692.0,805917.064372181,393774.93562781904,762906.4996434894,43010.564728691585,151012.73586976549,611893.7637737239
Manitoba,2020,1380132.0,171730.0,1208402.0,794789.1181630916,413612.8818369084,729935.0488574997,64854.06930559194,141112.51099228012,588822.5378652195
Manitoba,2021,1391924.0,171278.0,1220646.0,814047.7436880894,406598.2563119106,761726.0524764245,52321.69121166498,140272.89970106844,621453.1527753561
Manitoba,2022,1412568.0,171819.0,1240749.0,827677.8962359484,413071.1037640516,790140.9988327915,37536.89740315696,148063.35061962472,642077.6482131667
Manitoba,2023,1454743.0,173661.0,1281082.0,850792.1826143669,430289.8173856331,815461.8675114134,35330.315102953406,147886.01490729526,667575.8526041182
New Brunswick,1976,689494.0,132931.0,556563.0,299931.3377717063,256631.66222829372,266997.0213214823,32934.316450223945,29431.07530823635,237565.94601324594
New Brunswick,1977,695843.0,130460.0,565383.0,303335.2703363499,262047.7296636501,262796.492317096,40538.778019253936,30564.87549450736,232231.6168225886
New Brunswick,1978,699514.0,126511.0,573003.0,314027.2508524436,258975.74914755637,274864.83079828846,39162.42005415523,32644.02899217409,242220.80180611432
New Brunswick,1979,703158.0,122368.0,580790.0,321815.6644392508,258974.33556074923,287039.7662859212,34775.89815332962,37676.06058061001,249363.7057053112
New Brunswick,1980,706219.0,118695.0,587524.0,327033.1099452629,260490.8900547371,290818.0340117271,36215.0759335358,38724.84272418667,252093.1912875404
New Brunswick,1981,706438.0,115755.0,590683.0,333036.8717221372,257646.1282778628,294556.08058667096,38480.79113546622,42857.50504996302,251698.5755367079
New Brunswick,1982,707457.0,114056.0,593401.0,328913.80537512567,264487.19462487433,282480.8092692191,46432.99610590655,44120.75800011035,238360.05126910872
New Brunswick,1983,714842.0,113759.0,601083.0,334641.4463811394,266441.5536188606,284712.5873634577,49928.85901768169,47488.310052626235,237224.2773108315
New Brunswick,1984,720488.0,112836.0,607652.0,338149.7547058641,269502.2452941359,288703.9505070239,49445.80419884019,46595.847257553934,242108.10324947
New Brunswick,1985,723287.0,111285.0,612002.0,348325.28344281414,263676.71655718586,295340.0897231261,52985.193719688075,48334.18463666223,247005.90508646384
New Brunswick,1986,725019.0,109081.0,615938.0,355838.39532794256,260099.60467205744,305056.5972863082,50781.79804163436,50267.4591002191,254789.1381860891
New Brunswick,1987,727768.0,107713.0,620055.0,362621.74347320583,257433.25652679417,314919.44342941704,47702.30004378877,50318.945350985254,264600.49807843176
New Brunswick,1988,730349.0,105669.0,624680.0,369778.40047889855,254901.59952110145,326316.30350194545,43462.096976953064,53270.407327357476,273045.896174588
New Brunswick,1989,735129.0,104488.0,630641.0,378431.30722855876,252209.69277144124,333069.2468523182,45362.06037624058,53012.70441416086,280056.5424381573
New Brunswick,1990,740156.0,103677.0,636479.0,382047.70103817375,254431.29896182625,335886.5939408138,46161.10709735996,53616.96933799949,282269.62460281426
New Brunswick,1991,745567.0,102514.0,643053.0,378079.70884371473,264973.29115628527,329896.8218226045,48182.887021110226,54798.1569986694,275098.66482393513
